State,Year,18-20,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,Candidate
 Montana,2016,2,1,1,1,1,1,1,1,1,Republican
 Montana,2022,2,1,1,1,1,1,1,1,1,Republican
 Montana,2020,0,0,0,0,0,0,0,0,0,Republican
 Montana,2008,2,1,1,1,1,1,1,1,1,Republican
 Missouri,2016,2,1,1,1,1,1,1,1,1,Democrat
 Missouri,2012,2,1,1,1,1,1,1,1,1,Democrat
 Missouri,2008,2,1,1,1,1,1,1,1,1,Democrat
 Missouri,2008,2,1,1,1,1,1,1,1,1,Republican
 Missouri,2012,2,1,1,1,1,1,1,1,1,Republican
 Missouri,2016,2,1,1,1,1,1,1,1,1,Republican
 Missouri,2020,0,0,0,0,0,0,0,0,0,Republican
 Missouri,2022,2,1,1,1,1,1,1,1,1,Republican
 Missouri,2020,0,0,0,0,0,0,0,0,0,Democrat
 Missouri,2022,2,1,1,1,1,1,1,1,1,Democrat
 Mississippi,2022,2,1,1,1,1,1,1,1,1,Democrat
 Mississippi,2022,2,1,1,1,1,1,1,1,1,Republican
 Mississippi,2020,0,0,0,0,0,0,0,0,0,Republican
 Mississippi,2016,2,1,1,1,1,1,1,1,1,Republican
 Mississippi,2012,2,1,1,1,1,1,1,1,1,Republican
 Mississippi,2008,2,1,1,1,1,1,1,1,1,Republican
 Mississippi,2008,2,1,1,1,1,1,1,1,1,Democrat
 Mississippi,2012,2,1,1,1,1,1,1,1,1,Democrat
 Mississippi,2016,2,1,1,1,1,1,1,1,1,Democrat
 Mississippi,2020,0,0,0,0,0,0,0,0,0,Democrat
 Minnesota,2012,2,1,1,1,1,1,1,1,1,Democrat
 Minnesota,2020,0,0,0,0,0,0,0,0,0,Democrat
 Minnesota,2022,2,1,1,1,1,1,1,1,1,Democrat
 Minnesota,2008,2,1,1,1,1,1,1,1,1,Republican
 Minnesota,2008,2,1,1,1,1,1,1,1,1,Democrat
 Minnesota,2012,2,1,1,1,1,1,1,1,1,Republican
 Minnesota,2016,2,1,1,1,1,1,1,1,1,Republican
 Minnesota,2020,0,0,0,0,0,0,0,0,0,Republican
 Minnesota,2022,2,1,1,1,1,1,1,1,1,Republican
 Minnesota,2016,2,1,1,1,1,1,1,1,1,Democrat
 Michigan,2012,2,1,1,1,1,1,1,1,1,Republican
 Michigan,2016,2,1,1,1,1,1,1,1,1,Republican
 Michigan,2022,2,1,1,1,1,1,1,1,1,Republican
 Michigan,2022,2,1,1,1,1,1,1,1,1,Democrat
 Michigan,2008,2,1,1,1,1,1,1,1,1,Republican
 Michigan,2008,2,1,1,1,1,1,1,1,1,Democrat
 Michigan,2020,0,0,0,0,0,0,0,0,0,Democrat
 Michigan,2016,2,1,1,1,1,1,1,1,1,Democrat
 Michigan,2012,2,1,1,1,1,1,1,1,1,Democrat
 Michigan,2020,0,0,0,0,0,0,0,0,0,Republican
 Massachusetts,2022,2,1,1,1,1,1,1,1,1,Democrat
 Massachusetts,2012,2,1,1,1,1,1,1,1,1,Democrat
 Massachusetts,2020,0,0,0,0,0,0,0,0,0,Democrat
 Massachusetts,2008,2,1,1,1,1,1,1,1,1,Republican
 Massachusetts,2016,2,1,1,1,1,1,1,1,1,Democrat
 Massachusetts,2012,2,1,1,1,1,1,1,1,1,Republican
 Massachusetts,2016,2,1,1,1,1,1,1,1,1,Republican
 Massachusetts,2020,0,0,0,0,0,0,0,0,0,Republican
 Massachusetts,2008,2,1,1,1,1,1,1,1,1,Democrat
 Massachusetts,2022,2,1,1,1,1,1,1,1,1,Republican
 Maryland,2016,2,1,1,1,1,1,1,1,1,Republican
 Maryland,2022,2,1,1,1,1,1,1,1,1,Democrat
 Maryland,2020,0,0,0,0,0,0,0,0,0,Democrat
 Maryland,2016,2,1,1,1,1,1,1,1,1,Democrat
 Maryland,2012,2,1,1,1,1,1,1,1,1,Democrat
 Maryland,2008,2,1,1,1,1,1,1,1,1,Democrat
 Maryland,2020,0,0,0,0,0,0,0,0,0,Republican
 Maryland,2012,2,1,1,1,1,1,1,1,1,Republican
 Maryland,2022,2,1,1,1,1,1,1,1,1,Republican
 Maryland,2008,2,1,1,1,1,1,1,1,1,Republican
 Maine,2020,0,0,0,0,0,0,0,0,0,Democrat
 Maine,2020,0,0,0,0,0,0,0,0,0,Republican
 Maine,2016,2,1,1,1,1,1,1,1,1,Republican
 Maine,2012,2,1,1,1,1,1,1,1,1,Republican
 Maine,2008,2,1,1,1,1,1,1,1,1,Republican
 Maine,2022,2,1,1,1,1,1,1,1,1,Democrat
 Maine,2022,2,1,1,1,1,1,1,1,1,Republican
 Maine,2012,2,1,1,1,1,1,1,1,1,Democrat
 Maine,2008,2,1,1,1,1,1,1,1,1,Democrat
 Maine,2016,2,1,1,1,1,1,1,1,1,Democrat
 Louisiana,2022,2,1,1,1,1,1,1,1,1,Democrat
 Louisiana,2020,0,0,0,0,0,0,0,0,0,Democrat
 Louisiana,2016,2,1,1,1,1,1,1,1,1,Democrat
 Louisiana,2012,2,1,1,1,1,1,1,1,1,Democrat
 Louisiana,2008,2,1,1,1,1,1,1,1,1,Democrat
 Louisiana,2022,2,1,1,1,1,1,1,1,1,Republican
 Louisiana,2020,0,0,0,0,0,0,0,0,0,Republican
 Louisiana,2016,2,1,1,1,1,1,1,1,1,Republican
 Louisiana,2012,2,1,1,1,1,1,1,1,1,Republican
 Louisiana,2008,2,1,1,1,1,1,1,1,1,Republican
 Kentucky,2008,2,1,1,1,1,1,1,1,1,Republican
 Kentucky,2022,2,1,1,1,1,1,1,1,1,Republican
 Kentucky,2020,0,0,0,0,0,0,0,0,0,Republican
 Kentucky,2016,2,1,1,1,1,1,1,1,1,Republican
 Kentucky,2012,2,1,1,1,1,1,1,1,1,Republican
 Kentucky,2008,2,1,1,1,1,1,1,1,1,Democrat
 Kentucky,2012,2,1,1,1,1,1,1,1,1,Democrat
 Kentucky,2016,2,1,1,1,1,1,1,1,1,Democrat
 Kentucky,2020,0,0,0,0,0,0,0,0,0,Democrat
 Kentucky,2022,2,1,1,1,1,1,1,1,1,Democrat
 Kansas,2020,0,0,0,0,0,0,0,0,0,Republican
 Kansas,2022,2,1,1,1,1,1,1,1,1,Democrat
 Kansas,2022,2,1,1,1,1,1,1,1,1,Republican
 Kansas,2012,2,1,1,1,1,1,1,1,1,Republican
 Kansas,2008,2,1,1,1,1,1,1,1,1,Republican
 Kansas,2020,0,0,0,0,0,0,0,0,0,Democrat
 Kansas,2016,2,1,1,1,1,1,1,1,1,Republican
 Kansas,2008,2,1,1,1,1,1,1,1,1,Democrat
 Kansas,2016,2,1,1,1,1,1,1,1,1,Democrat
 Kansas,2012,2,1,1,1,1,1,1,1,1,Democrat
 Iowa,2022,2,1,1,1,1,1,1,1,1,Democrat
 Iowa,2022,2,1,1,1,1,1,1,1,1,Republican
 Iowa,2020,0,0,0,0,0,0,0,0,0,Republican
 Iowa,2016,2,1,1,1,1,1,1,1,1,Republican
 Iowa,2012,2,1,1,1,1,1,1,1,1,Republican
 Iowa,2008,2,1,1,1,1,1,1,1,1,Republican
 Iowa,2016,2,1,1,1,1,1,1,1,1,Democrat
 Iowa,2020,0,0,0,0,0,0,0,0,0,Democrat
 Iowa,2012,2,1,1,1,1,1,1,1,1,Democrat
 Iowa,2008,2,1,1,1,1,1,1,1,1,Democrat
 Indiana,2008,2,1,1,1,1,1,1,1,1,Republican
 Indiana,2022,2,1,1,1,1,1,1,1,1,Democrat
 Indiana,2020,0,0,0,0,0,0,0,0,0,Democrat
 Indiana,2016,2,1,1,1,1,1,1,1,1,Democrat
 Indiana,2012,2,1,1,1,1,1,1,1,1,Democrat
 Indiana,2008,2,1,1,1,1,1,1,1,1,Democrat
 Indiana,2022,2,1,1,1,1,1,1,1,1,Republican
 Indiana,2020,0,0,0,0,0,0,0,0,0,Republican
 Indiana,2016,2,1,1,1,1,1,1,1,1,Republican
 Indiana,2012,2,1,1,1,1,1,1,1,1,Republican
 Illinois,2012,2,1,1,1,1,1,1,1,1,Democrat
 Illinois,2016,2,1,1,1,1,1,1,1,1,Democrat
 Illinois,2022,2,1,1,1,1,1,1,1,1,Republican
 Illinois,2020,0,0,0,0,0,0,0,0,0,Republican
 Illinois,2016,2,1,1,1,1,1,1,1,1,Republican
 Illinois,2012,2,1,1,1,1,1,1,1,1,Republican
 Illinois,2008,2,1,1,1,1,1,1,1,1,Republican
 Illinois,2022,2,1,1,1,1,1,1,1,1,Democrat
 Illinois,2020,0,0,0,0,0,0,0,0,0,Democrat
 Illinois,2008,2,1,1,1,1,1,1,1,1,Democrat
 Idaho,2008,2,1,1,1,1,1,1,1,1,Republican
 Idaho,2012,2,1,1,1,1,1,1,1,1,Republican
 Idaho,2020,0,0,0,0,0,0,0,0,0,Republican
 Idaho,2016,2,1,1,1,1,1,1,1,1,Republican
 Idaho,2022,2,1,1,1,1,1,1,1,1,Republican
 Idaho,2008,2,1,1,1,1,1,1,1,1,Democrat
 Idaho,2012,2,1,1,1,1,1,1,1,1,Democrat
 Idaho,2020,0,0,0,0,0,0,0,0,0,Democrat
 Idaho,2022,2,1,1,1,1,1,1,1,1,Democrat
 Idaho,2016,2,1,1,1,1,1,1,1,1,Democrat
 Hawaii,2020,0,0,0,0,0,0,0,0,0,Republican
 Hawaii,2022,2,1,1,1,1,1,1,1,1,Democrat
 Hawaii,2012,2,1,1,1,1,1,1,1,1,Republican
 Hawaii,2020,0,0,0,0,0,0,0,0,0,Democrat
 Hawaii,2008,2,1,1,1,1,1,1,1,1,Republican
 Hawaii,2016,2,1,1,1,1,1,1,1,1,Republican
 Hawaii,2022,2,1,1,1,1,1,1,1,1,Republican
 Hawaii,2008,2,1,1,1,1,1,1,1,1,Democrat
 Hawaii,2016,2,1,1,1,1,1,1,1,1,Democrat
 Hawaii,2012,2,1,1,1,1,1,1,1,1,Democrat
 Georgia,2008,2,1,1,1,1,1,1,1,1,Republican
 Georgia,2012,2,1,1,1,1,1,1,1,1,Republican
 Georgia,2016,2,1,1,1,1,1,1,1,1,Republican
 Georgia,2020,0,0,0,0,0,0,0,0,0,Republican
 Georgia,2020,0,0,0,0,0,0,0,0,0,Democrat
 Georgia,2022,2,1,1,1,1,1,1,1,1,Democrat
 Georgia,2008,2,1,1,1,1,1,1,1,1,Democrat
 Georgia,2012,2,1,1,1,1,1,1,1,1,Democrat
 Georgia,2016,2,1,1,1,1,1,1,1,1,Democrat
 Georgia,2022,2,1,1,1,1,1,1,1,1,Republican
 Florida,2008,2,1,1,1,1,1,1,1,1,Democrat
 Florida,2012,2,1,1,1,1,1,1,1,1,Democrat
 Florida,2016,2,1,1,1,1,1,1,1,1,Democrat
 Florida,2020,0,0,0,0,0,0,0,0,0,Democrat
 Florida,2022,2,1,1,1,1,1,1,1,1,Democrat
 Florida,2022,2,1,1,1,1,1,1,1,1,Republican
 Florida,2020,0,0,0,0,0,0,0,0,0,Republican
 Florida,2016,2,1,1,1,1,1,1,1,1,Republican
 Florida,2012,2,1,1,1,1,1,1,1,1,Republican
 Florida,2008,2,1,1,1,1,1,1,1,1,Republican
 District of Columbia,2020,0,0,0,0,0,0,0,0,0,Republican
 District of Columbia,2022,2,1,1,1,1,1,1,1,1,Republican
 District of Columbia,2008,2,1,1,1,1,1,1,1,1,Democrat
 District of Columbia,2016,2,1,1,1,1,1,1,1,1,Republican
 District of Columbia,2008,2,1,1,1,1,1,1,1,1,Republican
 District of Columbia,2022,2,1,1,1,1,1,1,1,1,Democrat
 District of Columbia,2020,0,0,0,0,0,0,0,0,0,Democrat
 District of Columbia,2016,2,1,1,1,1,1,1,1,1,Democrat
 District of Columbia,2012,2,1,1,1,1,1,1,1,1,Democrat
 District of Columbia,2012,2,1,1,1,1,1,1,1,1,Republican
 Delaware,2020,0,0,0,0,0,0,0,0,0,Democrat
 Delaware,2022,2,1,1,1,1,1,1,1,1,Democrat
 Delaware,2012,2,1,1,1,1,1,1,1,1,Democrat
 Delaware,2016,2,1,1,1,1,1,1,1,1,Democrat
 Delaware,2008,2,1,1,1,1,1,1,1,1,Democrat
 Delaware,2012,2,1,1,1,1,1,1,1,1,Republican
 Delaware,2016,2,1,1,1,1,1,1,1,1,Republican
 Delaware,2020,0,0,0,0,0,0,0,0,0,Republican
 Delaware,2022,2,1,1,1,1,1,1,1,1,Republican
 Delaware,2008,2,1,1,1,1,1,1,1,1,Republican
 Connecticut,2008,2,1,1,1,1,1,1,1,1,Republican
 Connecticut,2022,2,1,1,1,1,1,1,1,1,Democrat
 Connecticut,2016,2,1,1,1,1,1,1,1,1,Republican
 Connecticut,2012,2,1,1,1,1,1,1,1,1,Republican
 Connecticut,2022,2,1,1,1,1,1,1,1,1,Republican
 Connecticut,2020,0,0,0,0,0,0,0,0,0,Republican
 Connecticut,2020,0,0,0,0,0,0,0,0,0,Democrat
 Connecticut,2008,2,1,1,1,1,1,1,1,1,Democrat
